ID,FRAME,TRACK_ID,POSITION_X,POSITION_Y,AREA,CIRCULARITY,CONTRAST_CH1,ELLIPSE_ASPECTRATIO,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_X0,ELLIPSE_Y0,MAX_INTENSITY_CH1,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,PERIMETER,POSITION_T,POSITION_Z,QUALITY,RADIUS,ROI_N_POINTS,SHAPE_INDEX,SNR_CH1,SOLIDITY,STD_INTENSITY_CH1,TOTAL_INTENSITY_CH1,VISIBILITY,name,ancestor_SPOT_ID,ancestor_FRAME,displacement
92061,0,1,55.84834918858422,36.094012311135984,1786.9999999999977,0.5845508196548265,0.9551422319474836,1.4083618209186026,28.416864303739363,20.177246984162416,2.209779561107933,0.3254045937614085,0.3090785838704946,1.0,1.0,1.0,1.0,196.0,0.0,0.0,1787.0,23.849942696166657,114,4.636537696718814,Infinity,0.9667297809034341,0.0,1787.0,1,ID92061,,,
92062,0,2,23.9328165374677,506.4764857881137,1935.0000000000002,0.5730023361953295,0.824181004006599,1.4077919946310815,29.56922840892434,21.003975389612222,1.3731085679200135,-0.059837862330624415,-0.0997257283996639,2.0,2.0,2.0,2.0,206.0,0.0,0.0,1935.0,24.817929602721396,118,4.683027797697251,Infinity,0.9462102689486555,0.0,3870.0,1,ID92062,,,
92063,0,238,85.78066298342542,540.903867403315,1809.9999999999995,0.5686282702997525,1.0,1.3845440294017746,28.52276290708791,20.600834860709956,-1.3570663916349273,0.5116083023368379,0.13878546940657854,3.0,3.0,3.0,3.0,200.0,0.0,0.0,1810.0,24.002935112037047,106,4.7010049472226845,Infinity,0.9380668566986263,0.0,5430.0,1,ID92063,,,
92064,0,6,778.4008438818565,612.7594936708861,947.9999999999998,0.6078020072659436,1.0,1.1851177536312452,18.9335339377089,15.976078224881741,2.2655978238885908,0.03967455302773329,-0.08314190248378535,4.0,4.0,4.0,4.0,140.0,0.0,0.0,948.0,17.371176474327623,82,4.546988617231417,Infinity,0.9639044229791559,0.0,3792.0,1,ID92064,,,
92065,0,4,196.7048231511254,627.7151125401929,1554.9999999999995,0.5771711455968959,1.0,1.0435989941411996,22.970095811109115,22.010461815375464,1.0585088716044286,-0.5743854334537511,0.17992559319987952,5.0,5.0,5.0,5.0,184.0,0.0,0.0,1555.0,22.247963345344544,112,4.666084789936959,Infinity,0.9496183206106867,0.0,7775.0,1,ID92065,,,
92067,0,5,562.4111812443643,710.2497745716862,1109.0000000000002,0.4937678929749265,1.0,2.3572645230346,29.220441907024483,12.395911286785859,0.019622560418584678,-0.010917298212639707,0.2108380780055415,6.0,6.0,6.0,6.0,168.0,0.0,0.0,1109.0,18.78844495368959,82,5.044794833720916,Infinity,0.9165289256198349,0.0,6654.0,1,ID92067,,,
92076,0,7,365.12367442501034,185.02864619198456,7261.0000000000055,0.43121180071295856,0.9039835675108712,2.6512017816579996,81.7404907787624,30.831486062009137,1.3715018901332592,0.6404712640578251,0.577478177080589,10.0,10.0,10.0,10.0,460.0,0.0,0.0,7261.0,48.075441584872685,218,5.3983322851813424,Infinity,0.881028938906753,0.0,72610.0,1,ID92076,,,
92080,0,0,283.6326023262008,371.4522773683743,11263.000000000002,0.3210168208138141,0.8940961629263264,2.515449918539503,93.43380375151861,37.143972958033395,2.2965484907882603,-1.393819321631797,3.3713613407284897,13.0,13.0,13.0,13.0,664.0,0.0,0.0,11263.0,59.87590707528392,466,6.25663813334278,Infinity,0.8202905939332147,0.0,146419.0,1,ID92080,,,
105340,0,235,756.8333333333334,891.5,232.3521955581855,0.9999999999999999,0.02659766748498011,1.0,8.60000005364418,8.60000005364418,0.0,0.0,0.0,30656.0,23041.4440433213,23152.0,16224.0,54.03539397880077,0.0,0.0,-1.0,8.60000005364418,,3.544907701811032,0.5381240425597497,1.0,2218.710160599804,6382480.0,1,ID105340,,,
105352,0,237,667.5,895.5,232.3521955581855,0.9999999999999999,0.022357077754373966,1.0,8.60000005364418,8.60000005364418,0.0,0.0,0.0,23008.0,17088.682310469314,16608.0,13136.0,54.03539397880077,0.0,0.0,-1.0,8.60000005364418,,3.544907701811032,0.4013288473030847,1.0,1862.3042023756343,4733565.0,1,ID105352,,,
92169,8,1,43.04951560818084,21.17599569429494,1857.9999999999995,0.6203718939706487,0.7174549376059158,1.1997209073223722,26.880098911314885,22.40529338719946,2.7046348869231673,0.21881612522907487,-0.44622709444512043,1.0,1.0,1.0,1.0,194.0,8.0,0.0,1858.0,24.319123514828465,106,4.500687664237834,Infinity,0.9712493465760584,0.0,1858.0,1,ID92169,92061,0,19.656
92171,8,239,9.238853503184714,525.3312101910828,942.0,0.5123580816623243,0.6603995299647473,2.0812284573127027,25.628895915360182,12.314311687075621,1.5794881387143915,-0.9877731935357514,-0.03606882665767859,2.0,2.0,2.0,2.0,152.0,8.0,0.0,942.0,17.31611713939158,66,4.952427614628167,Infinity,0.9661538461538461,0.0,1884.0,1,ID92171,,,
92173,8,238,48.776864357017025,549.4527304756313,1703.0000000000005,0.4946498048320469,0.9220013793968272,1.3956123234331674,27.560320455783135,19.747833974398787,1.2728012391725632,0.4227466636430521,0.2103580183419497,3.0,3.0,3.0,3.0,208.0,8.0,0.0,1703.0,23.28264882205192,122,5.040295641395627,Infinity,0.8977332630469164,0.0,5109.0,1,ID92173,92063,0,37.9785
92174,8,6,787.4135977337111,607.2875354107649,706.0,0.596066759858746,1.0,1.2068482546134334,16.4423716722952,13.624224594468066,1.1614718434839868,-0.028600244211499013,0.055192295497042895,4.0,4.0,4.0,4.0,122.0,8.0,0.0,706.0,14.99088988838742,74,4.591530569919387,Infinity,0.9579375848032563,0.0,2824.0,1,ID92174,92064,0,10.5438
92176,8,4,177.9042481456507,637.9615643964936,1483.0000000000014,0.5881810257888735,1.0,1.1098339175924783,22.889911088550665,20.624627456155697,1.5204208227432738,-0.13172289765177908,0.21405621334426667,5.0,5.0,5.0,5.0,178.0,8.0,0.0,1483.0,21.726793624705923,102,4.622207381640736,Infinity,0.9506410256410265,0.0,7415.0,1,ID92176,92065,0,21.4115
92177,8,6,764.3767885532592,663.8044515103338,629.0000000000002,0.6301217407869836,1.0,1.131910211929544,15.179198698425289,13.410249804663941,2.5663956231517377,0.17929878481945494,-0.10771693748655958,6.0,6.0,6.0,6.0,112.0,8.0,0.0,629.0,14.149802769282843,62,4.465732447841839,Infinity,0.9603053435114506,0.0,3774.0,1,ID92177,92064,0,52.9364
92179,8,5,523.3829160530191,725.5478645066274,678.9999999999999,0.43533498199744264,0.6647014184811161,1.927878021525229,20.53500144587954,10.651608253531206,2.7643805144572866,0.0074012790666858905,0.2225739268710964,7.0,7.0,7.0,7.0,140.0,8.0,0.0,679.0,14.701442538703263,90,5.372706895173354,Infinity,0.9095780308104487,0.0,4753.0,1,ID92179,92067,0,41.9194
92181,8,237,651.9507389162561,892.23973727422,609.0,0.5496207773732215,0.7219604147031103,1.4972644065694247,18.102712037778858,12.090524531506304,2.559241870476429,-0.17843618475404374,1.2154155691516122,9.0,9.0,9.0,9.0,118.0,8.0,0.0,609.0,13.923028430838189,62,4.781601300991336,Infinity,0.9405405405405406,0.0,5481.0,1,ID92181,105352,0,15.8874
92184,8,7,339.2831898919612,216.77412561801867,10921.999999999975,0.3309331715839246,0.7402619475042755,1.8868781260538445,80.93770392239259,42.89503535221062,1.857170181756135,1.902163615763141,-2.7020463383771562,10.0,10.0,10.0,10.0,644.0,8.0,0.0,10922.0,58.96253536695444,388,6.1621856920417954,Infinity,0.8244263285024132,0.0,109220.0,1,ID92184,92076,0,40.9329
92189,8,0,253.0512840286882,391.4735096784144,12967.000000000042,0.27199909152828006,0.8651888315299908,2.5089227964353586,101.92636882625496,40.62555012496617,2.337826326652344,-5.788986852146663,2.5696747487851064,12.0,12.0,12.0,12.0,774.0,8.0,0.0,12967.0,64.2458114910632,570,6.797061590960018,Infinity,0.8217884530071642,0.0,155604.0,1,ID92189,92080,0,36.5522
92191,8,235,761.1411801050356,885.9827000308928,3236.999999999998,0.4178720997563344,0.6736095723465544,1.9392761157231997,46.93882842952304,24.2043038889377,0.02091944008782587,-0.023254847114086347,1.320140845988884,14.0,14.0,14.0,14.0,312.0,8.0,0.0,3237.0,32.099362946590226,166,5.483820671450383,Infinity,0.9420838183934802,0.0,45318.0,1,ID92191,105340,0,6.9999
92234,16,7,335.28205128205127,191.12948717948717,780.0000000000003,0.5146906678849065,1.0,1.094098225162003,16.424311916391517,15.01173435681204,0.8082951518217115,0.12875608629169186,0.012702307341001327,1.0,1.0,1.0,1.0,138.0,16.0,0.0,780.0,15.756957549709805,88,4.941192630872086,Infinity,0.9302325581395353,0.0,780.0,1,ID92234,92184,8,25.9549
92235,16,6,875.1027287319422,510.0513643659711,622.9999999999998,0.4778350154263771,1.0,1.8564391333644492,19.821697165029477,10.677267468018924,0.42332079847286797,0.015768364942137663,-0.40815153964530004,2.0,2.0,2.0,2.0,128.0,16.0,0.0,623.0,14.082153922340911,70,5.128211713376026,Infinity,0.898341744772891,0.0,1246.0,1,ID92235,92174,8,130.9361
92236,16,238,40.46218487394958,543.3678086619263,1547.0,0.5060437146088516,1.0,1.4145672727692618,26.78941367879375,18.938239413915472,1.148708758258794,0.4130987782876176,-0.17626435478504426,3.0,3.0,3.0,3.0,196.0,16.0,0.0,1547.0,22.190660060627405,114,4.983229794573029,Infinity,0.8965517241379309,0.0,4641.0,1,ID92236,92173,8,10.3034
92237,16,6,777.0112866817155,633.1094808126411,886.0,0.4948357495254323,1.0,2.071667233477729,24.457506281130218,11.805711788988985,2.0034403270392307,-0.043514447727961585,-0.485077008245899,4.0,4.0,4.0,4.0,150.0,16.0,0.0,886.0,16.79352729949365,90,5.039348555125469,Infinity,0.9511540526033281,0.0,3544.0,1,ID92237,92177,8,33.1936
92238,16,4,164.57572443958446,637.7648988518316,1829.0000000000011,0.5982895630378733,1.0,1.0155564704219375,24.46928326647255,24.09445853494114,0.9620523283720722,-0.2435810191387817,0.12890446232698247,5.0,5.0,5.0,5.0,196.0,16.0,0.0,1829.0,24.128588475709755,112,4.582993260740564,Infinity,0.9596012591815326,0.0,9145.0,1,ID92238,92176,8,13.33
